MonthYear,Negative,Neutral,Positive,MedianSentiment,PercentageNegative,PercentageNeutral,PercentagePositive,Date
1991-12,1,0,0,Negative,100.0,0.0,0.0,1991-12
1992-09,0,1,0,Neutral,0.0,100.0,0.0,1992-09
1994-11,1,0,0,Negative,100.0,0.0,0.0,1994-11
1996-02,1,0,0,Negative,100.0,0.0,0.0,1996-02
1997-02,1,2,1,Neutral,25.0,50.0,25.0,1997-02
1997-04,1,1,0,Negative,50.0,50.0,0.0,1997-04
1997-05,0,1,0,Neutral,0.0,100.0,0.0,1997-05
1997-12,0,1,0,Neutral,0.0,100.0,0.0,1997-12
1998-05,0,6,0,Neutral,0.0,100.0,0.0,1998-05
1998-06,1,2,0,Neutral,33.33333333333333,66.66666666666666,0.0,1998-06
1998-07,0,2,0,Neutral,0.0,100.0,0.0,1998-07
1998-08,0,2,0,Neutral,0.0,100.0,0.0,1998-08
1998-09,0,1,1,Neutral,0.0,50.0,50.0,1998-09
1998-10,0,2,0,Neutral,0.0,100.0,0.0,1998-10
1998-11,0,2,0,Neutral,0.0,100.0,0.0,1998-11
1998-12,12,38,5,Neutral,21.818181818181817,69.0909090909091,9.090909090909092,1998-12
1999-01,112,213,53,Neutral,29.629629629629626,56.34920634920635,14.02116402116402,1999-01
1999-02,108,267,45,Neutral,25.71428571428571,63.57142857142857,10.714285714285714,1999-02
1999-03,121,353,66,Neutral,22.407407407407405,65.37037037037037,12.222222222222221,1999-03
1999-04,122,395,63,Neutral,21.03448275862069,68.10344827586206,10.86206896551724,1999-04
1999-05,149,405,77,Neutral,23.613312202852615,64.18383518225039,12.202852614896988,1999-05
1999-06,122,443,71,Neutral,19.18238993710692,69.65408805031447,11.163522012578616,1999-06
1999-07,123,461,88,Neutral,18.303571428571427,68.60119047619048,13.095238095238097,1999-07
1999-08,120,377,95,Neutral,20.27027027027027,63.682432432432435,16.0472972972973,1999-08
1999-09,139,462,114,Neutral,19.44055944055944,64.61538461538461,15.944055944055943,1999-09
1999-10,133,517,104,Neutral,17.639257294429708,68.56763925729443,13.793103448275861,1999-10
1999-11,127,551,102,Neutral,16.28205128205128,70.64102564102565,13.076923076923078,1999-11
1999-12,90,364,93,Neutral,16.453382084095065,66.54478976234005,17.001828153564897,1999-12
2000-01,118,532,89,Neutral,15.967523680649526,71.98917456021651,12.043301759133964,2000-01
2000-02,133,560,109,Neutral,16.58354114713217,69.82543640897757,13.591022443890274,2000-02
2000-03,136,683,135,Neutral,14.255765199161424,71.59329140461216,14.150943396226415,2000-03
2000-04,169,625,81,Neutral,19.314285714285713,71.42857142857143,9.257142857142856,2000-04
2000-05,139,544,92,Neutral,17.93548387096774,70.19354838709677,11.870967741935484,2000-05
2000-06,147,567,80,Neutral,18.513853904282115,71.41057934508817,10.075566750629724,2000-06
2000-07,135,598,96,Neutral,16.28468033775633,72.1351025331725,11.58021712907117,2000-07
2000-08,141,473,108,Neutral,19.529085872576175,65.51246537396122,14.958448753462603,2000-08
2000-09,169,571,109,Neutral,19.905771495877502,67.25559481743227,12.838633686690223,2000-09
2000-10,182,533,106,Neutral,22.168087697929355,64.92082825822169,12.911084043848964,2000-10
2000-11,189,493,109,Neutral,23.893805309734514,62.32616940581542,13.780025284450062,2000-11
2000-12,160,472,69,Neutral,22.82453637660485,67.3323823109843,9.843081312410842,2000-12
2001-01,195,488,104,Neutral,24.777636594663278,62.00762388818297,13.214739517153747,2001-01
2001-02,169,554,81,Neutral,21.019900497512438,68.90547263681593,10.074626865671641,2001-02
2001-03,221,578,117,Neutral,24.126637554585155,63.1004366812227,12.77292576419214,2001-03
2001-04,196,561,82,Neutral,23.361144219308702,66.86531585220501,9.773539928486292,2001-04
2001-05,182,465,98,Neutral,24.42953020134228,62.41610738255034,13.154362416107382,2001-05
2001-06,177,571,101,Neutral,20.848056537102476,67.25559481743227,11.896348645465253,2001-06
2001-07,237,538,127,Neutral,26.274944567627497,59.64523281596452,14.079822616407982,2001-07
2001-08,252,654,132,Neutral,24.277456647398843,63.005780346820806,12.716763005780345,2001-08
2001-09,354,556,87,Neutral,35.50651955867603,55.76730190571715,8.72617853560682,2001-09
2001-10,313,550,125,Neutral,31.68016194331984,55.66801619433198,12.651821862348179,2001-10
2001-11,284,609,119,Neutral,28.063241106719367,60.17786561264822,11.758893280632412,2001-11
2001-12,167,436,94,Neutral,23.959827833572454,62.553802008608315,13.486370157819225,2001-12
2002-01,236,560,117,Neutral,25.848849945235486,61.33625410733844,12.814895947426066,2002-01
2002-02,212,568,116,Neutral,23.660714285714285,63.39285714285714,12.946428571428573,2002-02
2002-03,217,643,105,Neutral,22.487046632124354,66.6321243523316,10.880829015544041,2002-03
2002-04,189,536,123,Neutral,22.287735849056602,63.20754716981132,14.504716981132077,2002-04
2002-05,230,529,107,Neutral,26.558891454965355,61.08545034642032,12.35565819861432,2002-05
2002-06,215,503,78,Neutral,27.010050251256278,63.19095477386934,9.798994974874372,2002-06
2002-07,271,587,100,Neutral,28.28810020876827,61.27348643006263,10.438413361169102,2002-07
2002-08,265,499,82,Neutral,31.32387706855792,58.98345153664303,9.692671394799055,2002-08
2002-09,231,579,74,Neutral,26.131221719457017,65.49773755656109,8.3710407239819,2002-09
2002-10,270,567,88,Neutral,29.18918918918919,61.29729729729729,9.513513513513514,2002-10
2002-11,250,581,119,Neutral,26.31578947368421,61.1578947368421,12.526315789473685,2002-11
2002-12,183,460,62,Neutral,25.957446808510635,65.24822695035462,8.794326241134751,2002-12
2003-01,251,543,97,Neutral,28.170594837261504,60.94276094276094,10.886644219977553,2003-01
2003-02,230,520,94,Neutral,27.251184834123222,61.61137440758294,11.137440758293838,2003-02
2003-03,271,663,102,Neutral,26.158301158301157,63.996138996138995,9.845559845559846,2003-03
2003-04,221,578,79,Neutral,25.17084282460137,65.83143507972665,8.997722095671982,2003-04
2003-05,225,628,90,Neutral,23.860021208907742,66.59597030752916,9.544008483563097,2003-05
2003-06,172,702,91,Neutral,17.82383419689119,72.74611398963731,9.430051813471502,2003-06
2003-07,214,639,119,Neutral,22.016460905349795,65.74074074074075,12.242798353909464,2003-07
2003-08,205,589,142,Neutral,21.9017094017094,62.927350427350426,15.17094017094017,2003-08
2003-09,171,575,152,Neutral,19.042316258351892,64.03118040089086,16.926503340757236,2003-09
2003-10,193,617,152,Neutral,20.062370062370064,64.13721413721414,15.800415800415802,2003-10
2003-11,186,677,126,Neutral,18.806875631951467,68.45298281092013,12.740141557128412,2003-11
2003-12,170,550,95,Neutral,20.858895705521473,67.48466257668711,11.65644171779141,2003-12
2004-01,210,557,150,Neutral,22.900763358778626,60.741548527808064,16.357688113413303,2004-01
2004-02,176,634,151,Neutral,18.314255983350677,65.9729448491155,15.71279916753382,2004-02
2004-03,210,746,135,Neutral,19.24839596700275,68.37763519706691,12.37396883593034,2004-03
2004-04,173,633,132,Neutral,18.44349680170576,67.48400852878464,14.072494669509595,2004-04
2004-05,176,662,140,Neutral,17.995910020449898,67.68916155419224,14.314928425357873,2004-05
2004-06,145,662,120,Neutral,15.641855447680692,71.41316073354909,12.944983818770226,2004-06
2004-07,192,712,132,Neutral,18.53281853281853,68.72586872586872,12.741312741312742,2004-07
2004-08,169,569,119,Neutral,19.71995332555426,66.39439906651108,13.885647607934656,2004-08
2004-09,212,559,159,Neutral,22.795698924731184,60.10752688172043,17.096774193548388,2004-09
2004-10,220,696,128,Neutral,21.0727969348659,66.66666666666666,12.260536398467432,2004-10
2004-11,198,646,114,Neutral,20.668058455114824,67.4321503131524,11.899791231732777,2004-11
2004-12,146,513,107,Neutral,19.06005221932115,66.97127937336815,13.968668407310705,2004-12
2005-01,195,589,142,Neutral,21.058315334773216,63.60691144708424,15.334773218142548,2005-01
2005-02,162,639,133,Neutral,17.34475374732334,68.4154175588865,14.23982869379015,2005-02
2005-03,178,629,116,Neutral,19.284940411700973,68.14734561213434,12.56771397616468,2005-03
2005-04,192,676,119,Neutral,19.45288753799392,68.4903748733536,12.056737588652481,2005-04
2005-05,207,632,124,Neutral,21.49532710280374,65.6282450674974,12.876427829698859,2005-05
2005-06,175,657,115,Neutral,18.479408658922914,69.37697993664203,12.143611404435058,2005-06
2005-07,207,665,135,Neutral,20.556107249255213,66.0377358490566,13.406156901688181,2005-07
2005-08,213,632,124,Neutral,21.981424148606813,65.2218782249742,12.796697626418988,2005-08
2005-09,232,613,131,Neutral,23.770491803278688,62.807377049180324,13.422131147540984,2005-09
2005-10,201,751,136,Neutral,18.474264705882355,69.02573529411765,12.5,2005-10
2005-11,187,666,125,Neutral,19.120654396728014,68.09815950920245,12.781186094069529,2005-11
2005-12,157,498,96,Neutral,20.905459387483354,66.3115845539281,12.78295605858855,2005-12
2006-01,176,573,126,Neutral,20.114285714285714,65.48571428571428,14.399999999999999,2006-01
2006-02,136,584,122,Neutral,16.152019002375297,69.35866983372921,14.489311163895488,2006-02
2006-03,171,604,144,Neutral,18.607181719260065,65.72361262241567,15.669205658324264,2006-03
2006-04,167,568,130,Neutral,19.30635838150289,65.66473988439306,15.028901734104046,2006-04
2006-05,168,571,131,Neutral,19.310344827586206,65.63218390804599,15.057471264367816,2006-05
2006-06,174,666,154,Neutral,17.50503018108652,67.0020120724346,15.492957746478872,2006-06
2006-07,164,651,162,Neutral,16.786079836233366,66.63254861821903,16.581371545547594,2006-07
2006-08,191,532,180,Neutral,21.15171650055371,58.91472868217055,19.93355481727575,2006-08
2006-09,206,552,134,Neutral,23.094170403587444,61.88340807174888,15.022421524663676,2006-09
2006-10,222,635,186,Neutral,21.28475551294343,60.88207094918504,17.833173537871524,2006-10
2006-11,192,633,219,Neutral,18.39080459770115,60.63218390804598,20.977011494252874,2006-11
2006-12,194,551,202,Neutral,20.4857444561774,58.18373812038015,21.330517423442448,2006-12
2007-01,223,614,232,Neutral,20.860617399438727,57.43685687558467,21.702525724976613,2007-01
2007-02,167,663,222,Neutral,15.874524714828897,63.02281368821293,21.102661596958175,2007-02
2007-03,239,776,195,Neutral,19.75206611570248,64.13223140495867,16.115702479338843,2007-03
2007-04,187,950,171,Neutral,14.296636085626913,72.62996941896024,13.073394495412844,2007-04
2007-05,223,731,147,Neutral,20.254314259763852,66.39418710263398,13.35149863760218,2007-05
2007-06,205,768,147,Neutral,18.303571428571427,68.57142857142857,13.125,2007-06
2007-07,251,738,208,Neutral,20.96908939014202,61.65413533834586,17.376775271512113,2007-07
2007-08,290,620,190,Neutral,26.36363636363636,56.36363636363636,17.272727272727273,2007-08
2007-09,298,706,123,Neutral,26.441881100266194,62.64418811002662,10.913930789707187,2007-09
2007-10,274,684,164,Neutral,24.420677361853834,60.962566844919785,14.616755793226382,2007-10
2007-11,313,615,145,Neutral,29.170549860205032,57.31593662628145,13.513513513513514,2007-11
2007-12,269,541,133,Neutral,28.525980911983034,57.37009544008483,14.103923647932131,2007-12
2008-01,383,629,162,Neutral,32.62350936967632,53.57751277683135,13.798977853492334,2008-01
2008-02,293,654,156,Neutral,26.563916591115138,59.292837715321845,14.143245693563012,2008-02
2008-03,365,632,127,Neutral,32.47330960854092,56.22775800711744,11.298932384341636,2008-03
2008-04,344,667,138,Neutral,29.939077458659703,58.050478677110526,12.010443864229766,2008-04
2008-05,295,632,134,Neutral,27.80395852968897,59.56644674835061,12.629594721960416,2008-05
2008-06,331,734,125,Neutral,27.81512605042017,61.680672268907564,10.504201680672269,2008-06
2008-07,409,587,150,Neutral,35.68935427574171,51.22164048865619,13.089005235602095,2008-07
2008-08,341,547,150,Neutral,32.85163776493256,52.69749518304432,14.450867052023122,2008-08
2008-09,459,680,142,Neutral,35.831381733021075,53.08352849336456,11.085089773614364,2008-09
2008-10,558,776,141,Neutral,37.83050847457627,52.610169491525426,9.559322033898306,2008-10
2008-11,431,684,124,Neutral,34.786117836965296,55.205811138014525,10.008071025020177,2008-11
2008-12,409,554,86,Neutral,38.989513822688274,52.81220209723546,8.198284080076263,2008-12
2009-01,450,631,121,Neutral,37.437603993344425,52.495840266222956,10.066555740432612,2009-01
2009-02,325,729,109,Neutral,27.94496990541703,62.68271711092004,9.37231298366294,2009-02
2009-03,332,701,143,Neutral,28.2312925170068,59.60884353741497,12.15986394557823,2009-03
2009-04,256,543,174,Neutral,26.3103802672148,55.80678314491264,17.882836587872557,2009-04
2009-05,242,588,137,Neutral,25.0258531540848,60.80661840744571,14.167528438469493,2009-05
2009-06,190,542,128,Neutral,22.093023255813954,63.0232558139535,14.883720930232558,2009-06
2009-07,184,510,148,Neutral,21.852731591448933,60.57007125890736,17.577197149643705,2009-07
2009-08,178,456,170,Neutral,22.139303482587064,56.71641791044776,21.144278606965177,2009-08
2009-09,151,543,187,Neutral,17.13961407491487,61.634506242905786,21.22587968217934,2009-09
2009-10,183,603,161,Neutral,19.32418162618796,63.674762407602955,17.00105596620908,2009-10
2009-11,161,518,156,Neutral,19.281437125748504,62.03592814371257,18.682634730538922,2009-11
2009-12,136,489,141,Neutral,17.75456919060052,63.838120104438644,18.407310704960835,2009-12
2010-01,169,531,146,Neutral,19.976359338061467,62.76595744680851,17.257683215130022,2010-01
2010-02,205,440,131,Neutral,26.417525773195877,56.70103092783505,16.881443298969074,2010-02
2010-03,177,559,128,Neutral,20.48611111111111,64.69907407407408,14.814814814814813,2010-03
2010-04,161,417,119,Neutral,23.09899569583931,59.82783357245337,17.073170731707318,2010-04
2010-05,222,443,102,Neutral,28.943937418513688,57.75749674054759,13.298565840938723,2010-05
2010-06,194,476,100,Neutral,25.19480519480519,61.81818181818181,12.987012987012985,2010-06
2010-07,195,501,131,Neutral,23.579201934703747,60.58041112454655,15.840386940749699,2010-07
2010-08,209,389,130,Neutral,28.708791208791208,53.434065934065934,17.857142857142858,2010-08
2010-09,201,490,111,Neutral,25.06234413965087,61.09725685785536,13.840399002493767,2010-09
2010-10,193,501,124,Neutral,23.594132029339853,61.24694376528117,15.158924205378973,2010-10
2010-11,193,509,133,Neutral,23.11377245508982,60.95808383233533,15.92814371257485,2010-11
2010-12,169,442,101,Neutral,23.735955056179776,62.07865168539326,14.185393258426968,2010-12
2011-01,208,516,148,Neutral,23.853211009174313,59.174311926605505,16.972477064220186,2011-01
2011-02,169,471,108,Neutral,22.593582887700535,62.96791443850267,14.43850267379679,2011-02
2011-03,182,498,104,Neutral,23.214285714285715,63.52040816326531,13.26530612244898,2011-03
2011-04,158,439,109,Neutral,22.379603399433428,62.18130311614731,15.439093484419264,2011-04
2011-05,172,468,103,Neutral,23.149394347240914,62.98788694481831,13.862718707940779,2011-05
2011-06,207,531,90,Neutral,25.0,64.13043478260869,10.869565217391305,2011-06
2011-07,247,482,95,Neutral,29.975728155339805,58.495145631067956,11.529126213592233,2011-07
2011-08,254,370,84,Neutral,35.87570621468927,52.259887005649716,11.864406779661017,2011-08
2011-09,246,478,93,Neutral,30.110159118727047,58.50673194614443,11.383108935128519,2011-09
2011-10,204,535,107,Neutral,24.113475177304963,63.23877068557919,12.647754137115838,2011-10
2011-11,249,518,88,Neutral,29.122807017543863,60.58479532163743,10.292397660818715,2011-11
2011-12,179,450,84,Neutral,25.105189340813467,63.11360448807854,11.781206171107995,2011-12
2012-01,195,455,100,Neutral,26.0,60.66666666666667,13.333333333333334,2012-01
2012-02,160,436,106,Neutral,22.79202279202279,62.10826210826211,15.0997150997151,2012-02
2012-03,180,482,111,Neutral,23.285899094437255,62.35446313065977,14.359637774902975,2012-03
2012-04,142,401,85,Neutral,22.611464968152866,63.853503184713375,13.535031847133757,2012-04
2012-05,193,450,92,Neutral,26.258503401360546,61.224489795918366,12.51700680272109,2012-05
2012-06,200,490,69,Neutral,26.35046113306983,64.55862977602108,9.090909090909092,2012-06
2012-07,203,491,78,Neutral,26.295336787564764,63.601036269430054,10.103626943005182,2012-07
2012-08,158,371,77,Neutral,26.072607260726073,61.221122112211226,12.706270627062707,2012-08
2012-09,154,383,75,Neutral,25.163398692810457,62.58169934640523,12.254901960784313,2012-09
2012-10,168,456,93,Neutral,23.430962343096233,63.59832635983263,12.97071129707113,2012-10
2012-11,174,467,91,Neutral,23.770491803278688,63.79781420765027,12.431693989071038,2012-11
2012-12,110,385,61,Neutral,19.784172661870503,69.24460431654677,10.971223021582734,2012-12
2013-01,191,440,101,Neutral,26.09289617486339,60.10928961748634,13.797814207650273,2013-01
2013-02,129,460,78,Neutral,19.34032983508246,68.96551724137932,11.694152923538232,2013-02
2013-03,129,445,99,Neutral,19.167904903417536,66.12184249628528,14.710252600297178,2013-03
2013-04,126,410,81,Neutral,20.42139384116694,66.45056726094003,13.12803889789303,2013-04
2013-05,136,447,108,Neutral,19.68162083936324,64.6888567293777,15.629522431259044,2013-05
2013-06,148,430,85,Neutral,22.322775263951737,64.85671191553544,12.82051282051282,2013-06
2013-07,106,473,131,Neutral,14.929577464788732,66.61971830985915,18.450704225352112,2013-07
2013-08,98,402,106,Neutral,16.17161716171617,66.33663366336634,17.491749174917494,2013-08
2013-09,110,455,125,Neutral,15.942028985507244,65.94202898550725,18.115942028985508,2013-09
2013-10,157,522,124,Neutral,19.551681195516814,65.00622665006227,15.442092154420923,2013-10
2013-11,166,504,127,Neutral,20.82810539523212,63.237139272271015,15.934755332496863,2013-11
2013-12,128,402,97,Neutral,20.414673046251995,64.11483253588517,15.47049441786284,2013-12
2014-01,158,458,153,Neutral,20.54616384915475,59.557867360208064,19.89596879063719,2014-01
2014-02,110,405,95,Neutral,18.0327868852459,66.39344262295081,15.573770491803279,2014-02
2014-03,116,472,84,Neutral,17.261904761904763,70.23809523809523,12.5,2014-03
2014-04,145,422,103,Neutral,21.641791044776117,62.98507462686567,15.37313432835821,2014-04
2014-05,145,473,95,Neutral,20.336605890603085,66.33941093969145,13.32398316970547,2014-05
2014-06,116,438,102,Neutral,17.682926829268293,66.76829268292683,15.548780487804878,2014-06
2014-07,135,441,130,Neutral,19.121813031161473,62.46458923512748,18.413597733711047,2014-07
2014-08,129,360,88,Neutral,22.357019064124785,62.391681109185434,15.251299826689774,2014-08
2014-09,112,380,78,Neutral,19.649122807017545,66.66666666666666,13.684210526315791,2014-09
2014-10,144,389,74,Neutral,23.72322899505766,64.08566721581549,12.191103789126853,2014-10
2014-11,117,393,81,Neutral,19.796954314720814,66.49746192893402,13.705583756345177,2014-11
2014-12,104,334,63,Neutral,20.758483033932134,66.66666666666666,12.574850299401197,2014-12
2015-01,135,370,74,Neutral,23.316062176165804,63.903281519861835,12.780656303972366,2015-01
2015-02,82,401,59,Neutral,15.129151291512915,73.98523985239852,10.885608856088561,2015-02
2015-03,84,428,72,Neutral,14.383561643835616,73.28767123287672,12.32876712328767,2015-03
2015-04,99,364,62,Neutral,18.857142857142858,69.33333333333334,11.80952380952381,2015-04
2015-05,104,362,82,Neutral,18.97810218978102,66.05839416058394,14.963503649635038,2015-05
2015-06,99,431,79,Neutral,16.25615763546798,70.77175697865353,12.97208538587849,2015-06
2015-07,101,427,52,Neutral,17.413793103448274,73.62068965517241,8.96551724137931,2015-07
2015-08,116,345,52,Neutral,22.612085769980506,67.2514619883041,10.1364522417154,2015-08
2015-09,118,364,62,Neutral,21.691176470588236,66.91176470588235,11.397058823529411,2015-09
2015-10,134,440,67,Neutral,20.904836193447736,68.64274570982839,10.452418096723868,2015-10
2015-11,135,393,64,Neutral,22.804054054054053,66.38513513513513,10.81081081081081,2015-11
2015-12,127,345,63,Neutral,23.738317757009344,64.48598130841121,11.775700934579438,2015-12
2016-01,181,375,84,Neutral,28.281250000000004,58.59375,13.125,2016-01
2016-02,149,388,53,Neutral,25.254237288135595,65.76271186440678,8.983050847457626,2016-02
2016-03,127,398,60,Neutral,21.70940170940171,68.03418803418803,10.256410256410255,2016-03
2016-04,124,422,64,Neutral,20.327868852459016,69.18032786885246,10.491803278688524,2016-04
2016-05,122,412,63,Neutral,20.435510887772192,69.01172529313233,10.552763819095476,2016-05
2016-06,118,398,62,Neutral,20.415224913494807,68.85813148788927,10.726643598615917,2016-06
2016-07,131,345,53,Neutral,24.763705103969755,65.21739130434783,10.01890359168242,2016-07
2016-08,103,352,48,Neutral,20.47713717693837,69.98011928429423,9.542743538767395,2016-08
2016-09,128,375,53,Neutral,23.021582733812952,67.44604316546763,9.532374100719425,2016-09
2016-10,138,387,55,Neutral,23.79310344827586,66.72413793103448,9.482758620689655,2016-10
2016-11,103,422,67,Neutral,17.39864864864865,71.28378378378379,11.317567567567567,2016-11
2016-12,90,345,62,Neutral,18.10865191146881,69.41649899396378,12.474849094567404,2016-12
2017-01,98,307,48,Neutral,21.63355408388521,67.77041942604856,10.596026490066226,2017-01
2017-02,68,265,47,Neutral,17.894736842105264,69.73684210526315,12.368421052631579,2017-02
2017-03,62,331,33,Neutral,14.553990610328638,77.69953051643192,7.746478873239436,2017-03
2017-04,80,275,36,Neutral,20.460358056265985,70.33248081841433,9.207161125319693,2017-04
2017-05,70,299,30,Neutral,17.543859649122805,74.93734335839599,7.518796992481203,2017-05
2017-06,67,243,22,Neutral,20.180722891566266,73.19277108433735,6.626506024096386,2017-06
2017-07,84,313,37,Neutral,19.35483870967742,72.11981566820278,8.525345622119817,2017-07
2017-08,95,236,35,Neutral,25.956284153005466,64.48087431693989,9.562841530054644,2017-08
2017-09,81,294,31,Neutral,19.950738916256157,72.41379310344827,7.635467980295567,2017-09
2017-10,81,312,26,Neutral,19.331742243436754,74.46300715990454,6.205250596658711,2017-10
2017-11,79,254,29,Neutral,21.823204419889503,70.1657458563536,8.011049723756907,2017-11
2017-12,56,218,39,Neutral,17.89137380191693,69.6485623003195,12.460063897763577,2017-12
2018-01,90,276,51,Neutral,21.58273381294964,66.18705035971223,12.23021582733813,2018-01
2018-02,83,267,35,Neutral,21.558441558441558,69.35064935064935,9.090909090909092,2018-02
2018-03,65,278,24,Neutral,17.71117166212534,75.74931880108991,6.539509536784741,2018-03
2018-04,85,247,32,Neutral,23.35164835164835,67.85714285714286,8.791208791208792,2018-04
2018-05,97,260,31,Neutral,25.0,67.0103092783505,7.989690721649484,2018-05
2018-06,97,271,29,Neutral,24.43324937027708,68.26196473551637,7.304785894206549,2018-06
2018-07,95,239,35,Neutral,25.745257452574528,64.76964769647697,9.48509485094851,2018-07
2018-08,84,232,27,Neutral,24.489795918367346,67.63848396501457,7.871720116618077,2018-08
2018-09,94,263,30,Neutral,24.289405684754524,67.95865633074936,7.751937984496124,2018-09
2018-10,116,279,18,Neutral,28.087167070217916,67.55447941888619,4.358353510895883,2018-10
2018-11,91,277,27,Neutral,23.037974683544306,70.12658227848101,6.8354430379746836,2018-11
2018-12,110,226,20,Neutral,30.89887640449438,63.48314606741573,5.617977528089887,2018-12
2019-01,116,256,29,Neutral,28.92768079800499,63.84039900249376,7.231920199501247,2019-01
2019-02,83,221,23,Neutral,25.382262996941897,67.58409785932722,7.033639143730887,2019-02
2019-03,86,266,21,Neutral,23.056300268096514,71.31367292225201,5.630026809651475,2019-03
2019-04,74,232,34,Neutral,21.764705882352942,68.23529411764706,10.0,2019-04
2019-05,94,269,25,Neutral,24.22680412371134,69.3298969072165,6.443298969072164,2019-05
2019-06,89,267,16,Neutral,23.9247311827957,71.7741935483871,4.301075268817205,2019-06
2019-07,109,257,14,Neutral,28.68421052631579,67.63157894736842,3.684210526315789,2019-07
2019-08,129,238,20,Neutral,33.33333333333333,61.49870801033591,5.167958656330749,2019-08
2019-09,102,280,22,Neutral,25.247524752475247,69.3069306930693,5.445544554455446,2019-09
2019-10,112,277,14,Neutral,27.791563275434246,68.73449131513648,3.4739454094292808,2019-10
2019-11,86,269,15,Neutral,23.243243243243246,72.70270270270271,4.054054054054054,2019-11
2019-12,78,240,36,Neutral,22.033898305084744,67.79661016949152,10.16949152542373,2019-12
2020-01,102,272,36,Neutral,24.878048780487806,66.34146341463415,8.780487804878048,2020-01
2020-02,98,231,27,Neutral,27.52808988764045,64.8876404494382,7.584269662921349,2020-02
2020-03,166,322,24,Neutral,32.421875,62.890625,4.6875,2020-03
2020-04,141,260,22,Neutral,33.33333333333333,61.46572104018912,5.200945626477541,2020-04
2020-05,135,299,18,Neutral,29.867256637168143,66.1504424778761,3.982300884955752,2020-05
2020-06,128,321,31,Neutral,26.666666666666668,66.875,6.458333333333334,2020-06
2020-07,110,298,42,Neutral,24.444444444444443,66.22222222222223,9.333333333333334,2020-07
2020-08,118,258,40,Neutral,28.365384615384613,62.019230769230774,9.615384615384617,2020-08
2020-09,102,272,36,Neutral,24.878048780487806,66.34146341463415,8.780487804878048,2020-09
2020-10,105,277,31,Neutral,25.423728813559322,67.07021791767555,7.506053268765134,2020-10
2020-11,82,267,51,Neutral,20.5,66.75,12.75,2020-11
2020-12,70,255,32,Neutral,19.607843137254903,71.42857142857143,8.96358543417367,2020-12
2021-01,93,246,57,Neutral,23.484848484848484,62.121212121212125,14.393939393939394,2021-01
2021-02,79,267,39,Neutral,20.51948051948052,69.35064935064935,10.129870129870131,2021-02
2021-03,89,290,53,Neutral,20.60185185185185,67.12962962962963,12.268518518518519,2021-03
2021-04,59,264,75,Neutral,14.824120603015075,66.33165829145729,18.84422110552764,2021-04
2021-05,72,266,65,Neutral,17.866004962779154,66.00496277915633,16.129032258064516,2021-05
2021-06,61,271,57,Neutral,15.681233933161954,69.66580976863753,14.652956298200515,2021-06
2021-07,86,245,60,Neutral,21.994884910485936,62.65984654731458,15.34526854219949,2021-07
2021-08,82,249,40,Neutral,22.10242587601078,67.11590296495957,10.781671159029651,2021-08
2021-09,131,262,38,Neutral,30.39443155452436,60.78886310904872,8.816705336426914,2021-09
2021-10,123,264,30,Neutral,29.496402877697843,63.30935251798561,7.194244604316546,2021-10
2021-11,85,274,37,Neutral,21.464646464646464,69.1919191919192,9.343434343434344,2021-11
2021-12,108,244,33,Neutral,28.05194805194805,63.37662337662338,8.571428571428571,2021-12
2022-01,89,270,45,Neutral,22.02970297029703,66.83168316831683,11.138613861386139,2022-01
2022-02,63,283,50,Neutral,15.909090909090908,71.46464646464646,12.626262626262626,2022-02
2022-03,94,298,35,Neutral,22.01405152224824,69.78922716627635,8.19672131147541,2022-03
2022-04,78,245,26,Neutral,22.349570200573066,70.20057306590259,7.4498567335243555,2022-04
2022-05,105,324,31,Neutral,22.82608695652174,70.43478260869566,6.739130434782608,2022-05
2022-06,113,285,22,Neutral,26.904761904761905,67.85714285714286,5.238095238095238,2022-06
2022-07,111,257,29,Neutral,27.95969773299748,64.73551637279597,7.304785894206549,2022-07
2022-08,118,326,33,Neutral,24.737945492662476,68.34381551362684,6.918238993710692,2022-08
2022-09,118,352,18,Neutral,24.18032786885246,72.1311475409836,3.6885245901639343,2022-09
2022-10,108,301,38,Neutral,24.161073825503358,67.33780760626398,8.501118568232663,2022-10
2022-11,107,278,27,Neutral,25.970873786407765,67.47572815533981,6.553398058252427,2022-11
2022-12,86,252,28,Neutral,23.497267759562842,68.85245901639344,7.650273224043716,2022-12
2023-01,55,179,28,Neutral,20.99236641221374,68.32061068702289,10.687022900763358,2023-01
